title,creation_date,medium,accession_number,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,provenance_text,classification,party_type,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Cookie Jar,2002,porcelain with terra sigillata,2005.35.a-c,Gift of Mr. and Mrs. Alexander C. Speyer III,6/2/05,Decorative Arts and Design,Hall of Sculpture Balcony,8.25,12.5,8.5,0,,Ceramics,Person,"Walker, Jason",,American,1/1/73,,,
Murrine plate,  1940,"glass, fused and slumped, with murrine",2005.47,Women's Committee Acquisition Fund,10/6/05,Decorative Arts and Design,Museum of Art Lobby,0,2.25,0,10.5,"Barry Friedman Ltd., New York",Glass,Person|Organization,"Scarpa, Carlo|Venini & C.",designer|manufacturer,Italian,1906-01-01|1929-01-01,1978-01-01|1985-01-01," Venice (Venezia province, Veneto, Italy)|","Tokyo, Japan|"
Tang Pillow Pitcher,1980,earthenware,2005.46,Second Century Acquisition Fund,10/6/05,Decorative Arts and Design,Hall of Sculpture Balcony,23,18,0,0,"Daniel Jacobs Collection, New York; Garth Clark Gallery, New York.",Ceramics,Person,"Woodman, Betty",,American,1/1/30,,"Norwalk, CT",
Portrait of Ellsworth Howard Brown,2005,oil on linen,2005.4,Purchase: Gift of Friends,10/6/05,Contemporary Art,Carnegie Music Hall and Foyer,48.25,57.125,3.375,0,,paintings,Person,"Polson, Steven",,American,1/1/62,,,
On the Farm (recto); The Gettysburg Address (verso),1925-1931,"oil on Masonite, double sided",2005.66.1.A-.B,Gift of the McGivern Family,12/1/05,Fine Arts,"Gallery 11, Scaife Galleries",24.5,22.375,2.75,0,"Possibly Ann Joyce McGivern; Michael J. McGivern, Harwood, MD, by 2005; gft to Carnegie Museum of Art, Pittsburgh, PA, 2005.",paintings,Person,"Kane, John",,American,1860-01-01,1/1/34,"West Calder (West Lothian, Scotland, United Kingdom)","Pittsburgh, Pennsylvania"
Twilight,  1855,oil on canvas,2005.62,Robert S. Waters Charitable Trust Fund,12/1/05,Fine Arts,"Gallery 3, Scaife Galleries",36,36,2,0,"Christopher Wood Gallery, London, 1978; by descent to John Hewitt, London; Private collection, 1981; (sold at Christopher Wood Gallery, London, 2005); (with Shepherd & Derom Gallery, New York, 2005); purchased by Museum, 2005.",paintings,Person,"Webb, William J.",,British,1817-01-01,1/1/04,,
Rover Chair,1981,"""Kee-Klamps"" tubular steel and original Rover car seat with leather upholstery",2006.5,Decorative Arts Purchase Fund,2/2/06,Decorative Arts and Design,"Gallery 18, Bruce Galleries",27.125,31.125,36,0,"Dorotheum Auction House, Vienna",furniture,Person|Organization,"Arad, Ron|One Off Ltd",designer|manufacturer,Israeli|British,1951-01-01|1981-01-01,|1993-01-01,"Tel Aviv-Jaffa (Tel Aviv district, Israel)|",|
Vase,  1950,glazed stoneware with slip decoration,2006.7,Ailsa Mellon Bruce Fund,2/2/05,Decorative Arts and Design,Hall of Sculpture Balcony,0,18.5,0,8.5,"Mark McDonald, Hudson, New York, purchased from the collection of Pat and Jerome Shaw.",Ceramics,Person,"Grotell, Maija",,American,1899-01-01,1/1/73,Finland,
Gioacchino Rossini,1862,plaster,2005.74,Gift of Charles Janoray,2/2/06,Fine Arts,"Gallery 4, Scaife Galleries",14.563,26.375,9.875,0,"Charles Janoray, LLC, New York, in 2004; Charles Janoray, until 2006. Gift to Museum, 2006.",sculpture,Person,"Dantan, Jean-Pierre",,French,1800-01-01,1869-01-01,,
Fashion Plate,2005,"glass, blown, with cane and murrine",2006.9,Women's Committee Acquisition Fund,2/2/06,Decorative Arts and Design,Museum of Art Lobby,11,10.5,7.5,0,"William Traver Gallery, Tacoma, WA (in exhibition ""Undulation"")",Glass,Person,"Rhoads, Kait",,American,1/1/68,,,
"Tazza with cover, ""Coupe Henri II""",1851-1854,porcelain with enamel and inset paste decoration,2006.6.A-B,DuPuy Fund,2/2/06,Decorative Arts and Design,"Gallery 6, Scaife Galleries",0,10.25,0,7.875,"Michelle  Beiny, New York",Ceramics,Organization,Sèvres Porcelain Factory,manufacturer,French,1756-01-01,,,
Armchair,1897,stained oak,2006.13,"Ailsa Mellon Bruce Fund in honor of Sarah Nichols, Curator of Decorative Arts",2/2/06,Decorative Arts and Design,"Gallery 7, Scaife Galleries",24.75,54,18,0,"Argyle Street Tea Rooms, Smoking and Billiards Rooms, Glasgow, Scotland; 
Fine Arts Society, London, 1985;
William S. and Ellen Taubman, 
NY; H. Blairman & Sons, Ltd.",Wood,Person,"Mackintosh, Charles Rennie",,Scottish,1868-01-01,1/1/28,,
Gioioso Serena,2000,glass,2006.3,Gift of the Estate of Jean M. George,4/6/06,Decorative Arts and Design,"Gallery 21, Bruce Galleries",15.625,8,8.375,0,Collection of Krome & Jean George.,sculpture,Person,"Zynsky, Toots",,American,1/1/51,,"Boston, Massachusetts",
Teco vase,1900-1904,glazed earthenware,2006.43,Gift of American Decorative Art 1900 Foundation in honor of Sarah Nichols,6/1/06,Decorative Arts and Design,"Gallery 20, Bruce Galleries",4,13,0,0,"Collection of Bruce Barnes and Joe Cunningham, NYC",Ceramics,Person|Organization,"Hals, Harald|Gates Potteries",designer|manufacturer,Norwegian|American,1876-01-01|1880-01-01,1959-01-01|1941-01-01,"Oslo (Oslo county, Norway)|","Oslo (Oslo county, Norway)|"
Oriente vase,1954,glass,2006.36,The Women's Committee Acquisition Fund,6/1/06,Decorative Arts and Design,"Gallery 21, Bruce Galleries",7,15.5,4,0,"Private Collection, Zurich; Barry Friedman Gallery, New York",Glass,Person|Organization,"Martens, Dino|Vetri Decorativi Rag. Aureliano Toso",designer|manufacturer,Italian,1894-01-01|1938-01-01,1970-01-01|1979-01-01,|,|
Reazioni Policrome vase,  1947-1952,glass with gold and silver foil,2006.53.2,Women's Committee Acquisition Fund,10/5/06,Decorative Arts and Design,"Gallery 21, Bruce Galleries",4.5,14.25,4.125,0,,containers,Person|Organization,"Radi, Giulio|Arte Vetraria Muranese",designer|manufacturer,Italian,1895-01-01|1932-01-01,1952-01-01|,|,|
Bottiglie morandiane,  1948-1952,"glass, blown with incalmo",2007.13.A-.B,Women's Committee Acquisition Fund,4/5/07,Decorative Arts and Design,Museum of Art Lobby,0,13,0,4.5,"Private collection, before 2007; (Odelas Antiques), Union City, NJ, Odetto Lastra, as agent, 2007; Purchased by Carnegie Museum of Art, 2007. 

TBF November 5, 2014.",Glass,Person|Organization,"Ponti, Gio|Venini & C.",designer|,Italian,1891-01-01|1929-01-01,1979-01-01|1985-01-01,"Milan (Milano province, Lombardy, Italy)|","Milan (Milano province, Lombardy, Italy)|"
Dish,  1955,"glass, blown with murrine",2006.56,Women's Committee Acquisition Fund,10/5/06,Decorative Arts and Design,"Gallery 21, Bruce Galleries",19,5,17,0,,Glass,Person|Organization,"Fuga, Anzolo|Arte Vetraria Muranese",designer|manufacturer,Italian,1914-01-01|1932-01-01,1998-01-01|,|,|
Braniff Dali,2006,digital screen print on canvas,2006.49.1,Oxford Development Fund,10/5/06,Contemporary Art,"Gallery 16, Scaife Galleries",46.125,31.25,1,0,The artist through Paula Cooper Gallery in New York,paintings,Person,"Walker, Kelley",,American,1/1/69,,"Columbus (Muscogee, Georgia, United States)",
Braniff Gingold,2006,digital screen print on canvas,2006.49.2,Oxford Development Fund,10/5/06,Contemporary Art,"Gallery 16, Scaife Galleries",46,31.125,1.125,0,The artist through Paula Cooper Gallery in New York,paintings,Person,"Walker, Kelley",,American,1/1/69,,"Columbus (Muscogee, Georgia, United States)",
Braniff Jockey,2006,digital screen print on canvas,2006.49.3,Oxford Development Fund,10/5/06,Contemporary Art,"Gallery 16, Scaife Galleries",46,31.125,1.25,0,The artist through Paula Cooper Gallery in New York,paintings,Person,"Walker, Kelley",,American,1/1/69,,"Columbus (Muscogee, Georgia, United States)",
Braniff Martin Jr.,2006,digital screen print on canvas,2006.49.4,Oxford Development Fund,10/5/06,Contemporary Art,"Gallery 16, Scaife Galleries",46.125,31.25,1.125,0,The artist through Paula Cooper Gallery in New York,paintings,Person,"Walker, Kelley",,American,1/1/69,,"Columbus (Muscogee, Georgia, United States)",
Braniff Merman,2006,digital screen print on canvas,2006.49.5,Oxford Development Fund,10/5/06,Contemporary Art,"Gallery 16, Scaife Galleries",46.126,31.125,1.25,0,The artist through Paula Cooper Gallery in New York,paintings,Person,"Walker, Kelley",,American,1/1/69,,"Columbus (Muscogee, Georgia, United States)",
Braniff Rooney,2006,digital screen print on canvas,2006.49.6,Oxford Development Fund,10/5/06,Contemporary Art,"Gallery 16, Scaife Galleries",46.126,31.126,1.125,0,The artist through Paula Cooper Gallery in New York,paintings,Person,"Walker, Kelley",,American,1/1/69,,"Columbus (Muscogee, Georgia, United States)",
Braniff Spillane,2006,digital screen print on canvas,2006.49.7,Oxford Development Fund,10/5/06,Contemporary Art,"Gallery 16, Scaife Galleries",46,31.25,1.126,0,The artist through Paula Cooper Gallery in New York,paintings,Person,"Walker, Kelley",,American,1/1/69,,"Columbus (Muscogee, Georgia, United States)",
The Hunter,  1910,"plaster, wood base",2006.6,Frances G. Scaife Fund,10/5/06,Fine Arts,"Gallery 4, Scaife Galleries",15.625,7.5,7.75,0,"Cecile Singer [1930-], New York; Conner Rosenkranz, LLC [1980-], New York, until 2006. Purchased by Museum, October 5, 2006.",sculpture,Person,"Laessle, Albert",,American,1877-01-01,1/1/54,,
Fully Elastic Armchair,  1810,"painted wood (probably white oak, soft maple, and hickory)",2006.72,Berdan Memorial Trust Fund,12/7/06,Decorative Arts and Design,"Gallery 18, Bruce Galleries",19.875,33.75,25.125,0,"Hirschl & Adler Galleries, New York",Wood,Person,"Gragg, Samuel",,American,1772-01-01,1850-01-01,"Peterborough, New Hampshire",
Charger,1925,glazed earthenware,2007.5,Second Century Acquisition Fund,2/1/07,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,3.625,0,14.25,"Private collection of Dennis Gallion and Daniel Morris, proprietors of Historical Design in New York City, a leading firm in American and European modernist design.",Ceramics,Person,"Diederich, Wilhelm Hunt",,American,1884-01-01,1/1/53,Hungary (Europe),"Nyack (Rockland county, New York state, United States)"
Dancer Looking at the Sole of Her Right Foot (Danseuse regardant la plante de son pied droit),1911-1932,bronze,2007.7,Heinz Family Fund,2/1/07,Fine Arts,"Gallery 8, Scaife Galleries",12.5,19,8.875,0,"A. A. Hébrard, Paris, France [1]; purchased by Roger Waller, on October 31, 1931 [2]; private collection; Wildenstein & Co., Inc., New York, NY, by April 2006; purchased by Carnegie Museum of Art, Pittsburgh, PA, February 2007.

[1]. By arrangement with Degas' heirs, the original wax model was one of a series cast by Fonderie Hébrard (69/K).
[2]. Information from  Hébrard archives; see curatorial file for relevant bibliography.",sculpture,Person,"Degas, Edgar",,French,1834-07-19,9/27/17,"Paris (Île-de-France, France)","Paris (Île-de-France, France)"
Mosaic Forum 7,2001,glass,2007.17.2,Gift of Maxine H. Block,4/5/07,Decorative Arts and Design,"Gallery 21, Bruce Galleries",20.75,3,20.75,0,"Block collection
Habatat Gallery, Chicago",Glass,Person,"Moje, Klaus",,German,1/1/36,,"Hamburg, Germany",
Jardinière,  1890,earthenware with underglaze and luser glaze decoration,2007.14,Mary Murtland Wurts Fund,4/5/07,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,11.5,0,18,"Sylvia Powell Decorative Arts

From the estate of Jane Byrd McCall Whitehead, a direct descendant of William Byrd, the founding father of Richmond, VA. After studying with Ruskin at Oxford, whe went on an art-filled tour of Italy with Ralph Radcliffe Whitehead (her soon-to-be-husband) who was also an acquaintance and follower of Ruskin. It is thought that this vase was purchased on this ""honeymooon"" trip. (from the dealer's description)",Ceramics,Organization,Cantagalli Workshop,,Italian,1878-01-01,1/1/00,,
Centerpiece,1858-1859,aluminum with painted and gilded decoration,2007.12,Women's Committee Acquisition Fund,4/5/07,Decorative Arts and Design,"Gallery 4, Scaife Galleries",16,12.75,12.375,0,"Christofle, France. Isaac Pereire [1806-1880], Paris, France, 1858? until 1880. Purchased by Jean Nicollier, Paris, France around, 2007? [1]; (sold at Galerie Elseneur, 2007); purchased by Carnegie Museum of Art, 2007. 
NOTES: [1] The curatorial file notes that this was purchased in a shop in Clignancourt (Flea Market).  Jean Nicollier is an antique dealer for Galerie Elseneur, it is unclear this purchase was made on a personal level or on behalf of the gallery.",sculpture,Person|Organization,"Christofle, Charles|Christofle, Orfèverie",attributed designer|manufacturer,French,1805-01-01|1831-01-01,1863-01-01|,|,|
Sketch in iron,1933-1934,wrought iron,2007.37,Gift of American Decorative Art 1900 Foundation in honor of Marcia and Stanley Gumberg,6/7/07,Decorative Arts and Design,"Gallery 21, Bruce Galleries",13.25,16.25,1.625,0,,Metals,Person,"Yellin, Samuel",,American,1884-01-01,1/1/40,Russia,
Rooster,  1930,patinated copper,2007.26.1,Decorative Arts Purchase Fund and Second Century Acquisition Fund,6/7/07,Decorative Arts and Design,"Gallery 21, Bruce Galleries",8,16,14,0,"Inherited by Michael Diederich, grandson of the artist, sold to the museum through Deedee Wigmore, a modernist design dealer in New York City.",sculpture,Person,"Diederich, Wilhelm Hunt",,American,1884-01-01,1/1/53,Hungary (Europe),"Nyack (Rockland county, New York state, United States)"
Rooster,  1930,patinated copper,2007.26.2,Decorative Arts Purchase Fund and Second Century Acquisition Fund,6/7/07,Decorative Arts and Design,"Gallery 21, Bruce Galleries",8,17,14,0,"Inherited by Michael Diederich, grandson of the artist, sold to the museum through Deedee Wigmore, a modernist design dealer in New York City.",sculpture,Person,"Diederich, Wilhelm Hunt",,American,1884-01-01,1/1/53,Hungary (Europe),"Nyack (Rockland county, New York state, United States)"
Coffeepot,  1867,porcelain with enamel and gilded decoration,2007.11.2.A-.B,Ailsa Mellon Bruce Fund,4/5/07,Decorative Arts and Design,"Gallery 6, Scaife Galleries",6.875,9.25,4.375,0,,Ceramics,Organization,Königliche Porzellan-Manufacktur (KPM),,German,1763-01-01,,,
Covered Bowl,  1867,porcelain with enamel and gilded decoration,2007.11.4.A-.B,Ailsa Mellon Bruce Fund,4/5/07,Decorative Arts and Design,"Gallery 6, Scaife Galleries",5.187,5.5,3.625,0,,Ceramics,Organization,Königliche Porzellan-Manufacktur (KPM),,German,1763-01-01,,,
Side cabinet,1867,"walnut with walnut veneer, multi wood inlay, and brass",2007.25,Berdan Memorial Trust Fund,6/7/07,Decorative Arts and Design,"Gallery 20, Bruce Galleries",67.75,53.5,19.25,0,"Gillow and Company [1730-1903]; Commissioned by John Grant Morris [-1897], Liverpool, England, 1867 [1]; sold at Christie's, London, after 1897. Possibly Liberty's [1875-] [2]. Sold at H. Blairman & Sons, Ltd., London, by June 2007; purchased by Museum, 2007. 
NOTES:1. Morris had this cabinet made for his home, Allerton Priory, in Lancashire, England.  2. Liberty's  purchased most of Morris' Asian art collection. Further research into Christies and Liberty's archives could reveal the subsequent provenance.",furniture,Person|Organization,"Talbert, Bruce|Gillow and Company",designer|manufacturer,British,1838-01-01|1720-01-01,1881-01-01|1897-01-01,"Dundee, Scotland|","London, England|"
Charger,  1878,earthenware with enamel decoration,2007.29,Edgar L. Levenson Fund,6/7/07,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,2.75,0,22,"Haslam & Whiteway Ltd., London",Ceramics,Organization,"Vieillard, J. & Cie.",manufacturer,French,1845-01-01,1895-01-01,,
Young Woman Nursing Her Child,  1883-1893,bronze with brown patina,2007.3,Heinz Family Fund,6/7/07,Fine Arts,"Gallery 4, Scaife Galleries",33.625,46.5,3,0,"Louis Majorelle, Villa Jika, Nancy; by descent; Charles Janoray, New York, LLC in 2007",sculpture,Person,"Charpentier, Alexandre-Louis-Marie",,French,1856-01-01,1/1/09,"Paris, France","Neuilly, Hauts-de-Seine, France"
Atlantic Pot,1996,spalted sugar maple with inlay of sugar maple and stained decoration,2007.66,Gift of Ruth and David Waterbury in honor of Jason Busch,12/6/07,Decorative Arts and Design,"Gallery 21, Bruce Galleries",8.25,9.5,0,0,Gift of Ruth and David Waterbury,Wood,Person,"Ellsworth, David",,American,1/1/44,,,
Charger,1902,earthenware with luster glaze decoration,2007.42,Alexander C. and Tillie S. Speyer Fund,10/4/07,Decorative Arts and Design,Hall of Sculpture Balcony,0,0,0,13.5,"Lillian Nassau, LLC.",Ceramics,Person,"Massier, Clément",,French,1845-01-01,1/1/17,,
Ice cream server,  1880,silver with gilded decoration,2007.81,Gift of Mrs. John F. Lockhart,2/7/08,Decorative Arts and Design,"Gallery 20, Bruce Galleries",2.75,1.125,10,0,Mrs. Paula Lockhart,tools and equipment,Organization,Gorham Manufacturing Company,manufacturer,American,1831-01-01,,"Providence, RI",
Wallpaper,  1800,block-printed paper,2007.82,Gift of Mrs. John F. Lockhart,2/7/08,Decorative Arts and Design,"Gallery 19, Bruce Galleries",56,48,0,0,Paula Lockhart,prints,Person,unknown French,,French,,,,
How High the Moon,2000,nickel-plated expanded steel mesh,2007.43,Richard L. Simmons Acquisition Fund,10/4/07,Decorative Arts and Design,"Gallery 21, Bruce Galleries",38,28.5,32,0,Purchased from LA Modern Auctions,furniture,Person|Organization|Organization,"Kuramata, Shiro|Terada Tekkojo, Ltd.|Vitra AG",designer|manufacturer|retailer,Japanese|Japanese|Swiss,1934-01-01||1934-01-01,1991-01-01||,||,||
Pastoral Landscape,  1854-1861,oil on canvas,2007.45,Heinz Family Fund,10/4/07,Fine Arts,"Gallery 6, Scaife Galleries",43.5,29.5,4.75,0,"Edward Henry Perkins, Jr. and William Perkins, his half brother, New York; The Spalding Library [1897-], Athens, PA, until at least 1899; Cameron Knight, Washington, by 1999 until 2007; sold at Christies, New York, on May 24, 2007, lot 62 [1]; purchased by Museum, 2007. 
NOTES:1. Bought in",paintings,Person,"Durand, Asher Brown",,American,1796-01-01,1886-01-01,"Jefferson (Monmouth county, New Jersey, United States)","Maplewood (Essex county, New Jersey, United States)"
Armchair,  1853,walnut with original printed wool upholstery,2007.59.1,Richard L. Simmons Acquisition Fund,12/6/07,Decorative Arts and Design,"Gallery 20, Bruce Galleries",27,46,29,0,"Purchased from the Ebenezer Maxwelll Mansion, Philadelphia, PA

Accession card at the Ebenezer Maxwell Mansion states that these chairs were a gift of Mrs. T. Charlton Henry, Huron & Moreland Ave, Philadelphia, PA 19118. Card states that these chairs were made for Richard Rush, son of Benjamin Rush, for his house in Philadelphia.",Wood,Person,"White, Charles H.",manufacturer,American,1796-01-01,1876-01-01,,
Charger,  1898,stoneware with luster glaze,2007.63,Gift of H. Blairman & Sons in memory of Iris Millard,12/6/07,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,1.5,0,12.75,,Ceramics,Person,"Dalpayrat, Adrien Pierre",,French,1844-01-01,1/1/10,"Limoges (Haute-Vienne, Limousin, France)",
